"","Participant_ID","Participant_Age","Participant_Sex","Item_Category","Item_Name","Trial_Order","Emotion_Condition","Subjective_Arousal","Subjective_Valence","Autobiographical_Link","Recall"
"184","4S",21.9329226557153,"Female","Faces","Faces_364_v",40,"Negative",85.15625,-100,82.2916666666667,FALSE
"185","4S",21.9329226557153,"Female","People","People_163_v",41,"Neutral",0,8.85416666666666,28.125,TRUE
"186","4S",21.9329226557153,"Female","People","People_097_h",42,"Neutral",0,2.08333333333334,23.4375,TRUE
"187","4S",21.9329226557153,"Female","Faces","Faces_057_h",43,"Neutral",0,1.04166666666666,24.4791666666667,TRUE
"188","4S",21.9329226557153,"Female","People","People_114_h",44,"Neutral",17.7083333333333,65.625,69.53125,TRUE
"189","4S",21.9329226557153,"Female","Faces","Faces_293_h",45,"Negative",27.34375,-65.1041666666667,21.6145833333333,TRUE
"190","4S",21.9329226557153,"Female","People","People_208_h",46,"Negative",66.40625,-100,13.8020833333333,TRUE
"191","4S",21.9329226557153,"Female","Faces","Faces_371_v",47,"Negative",61.4583333333333,-100,22.1354166666667,TRUE
"192","4S",21.9329226557153,"Female","People","People_222_h",48,"Negative",28.125,-98.4375,77.34375,FALSE
"193","5S",18.7049965776865,"Female","People","People_128_h",1,"Negative",61.71875,-32.2916666666667,7.03125,FALSE
"194","5S",18.7049965776865,"Female","People","People_038_h",2,"Negative",91.9270833333333,-94.2708333333333,27.0833333333333,FALSE
"195","5S",18.7049965776865,"Female","Faces","Faces_315_h",3,"Neutral",48.9583333333333,53.125,82.03125,FALSE
"196","5S",18.7049965776865,"Female","People","People_063_h",4,"Neutral",59.1145833333333,43.2291666666667,65.1041666666667,FALSE
"197","5S",18.7049965776865,"Female","Faces","Faces_057_h",5,"Neutral",35.4166666666667,39.5833333333333,17.1875,FALSE
"198","5S",18.7049965776865,"Female","People","People_114_h",6,"Neutral",48.6979166666667,-6.25,33.59375,FALSE
"199","5S",18.7049965776865,"Female","Faces","Faces_371_v",7,"Negative",94.2708333333333,-82.2916666666667,69.2708333333333,FALSE
"200","5S",18.7049965776865,"Female","Faces","Faces_365_v",8,"Negative",72.3958333333333,-47.3958333333333,0.520833333333337,FALSE
"201","5S",18.7049965776865,"Female","People","People_138_h",9,"Neutral",56.25,32.8125,63.0208333333333,TRUE
"202","5S",18.7049965776865,"Female","People","People_102_h",10,"Neutral",33.59375,2.60416666666666,5.46875,TRUE
"203","5S",18.7049965776865,"Female","Faces","Faces_224_h",11,"Neutral",51.5625,25.5208333333333,6.25,FALSE
"204","5S",18.7049965776865,"Female","Faces","Faces_319_v",12,"Neutral",57.5520833333333,39.5833333333333,79.6875,FALSE
"205","5S",18.7049965776865,"Female","Faces","Faces_207_h",13,"Neutral",65.3645833333333,40.625,75,FALSE
"206","5S",18.7049965776865,"Female","Faces","Faces_364_v",14,"Negative",89.84375,-89.0625,6.77083333333334,FALSE
"207","5S",18.7049965776865,"Female","Faces","Faces_293_h",15,"Negative",64.0625,-47.3958333333333,14.0625,FALSE
